doctor_id,name,clinic_id
D000000001,Dr. Goh Lee,1
D000000002,Dr. Marcus Nair,1
D000000003,Dr. David Wong,1
D000000004,Dr. Hui Krishnan,2
D000000005,Dr. Amanda Chng,2
D000000006,Dr. Kevin Ho,2
D000000007,Dr. Ong Hassan,3
D000000008,Dr. Rajesh Tay,3
D000000009,Dr. Benjamin Ali,3
D000000010,Dr. Grace Kumar,3
D000000011,Dr. Ng Chng,3
D000000012,Dr. Emily Chng,4
D000000013,Dr. Rui Ali,4
D000000014,Dr. Mary Lim,4
D000000015,Dr. Jing Yeo,5
D000000016,Dr. Hui Lee,5
D000000017,Dr. John Soh,5
D000000018,Dr. Steven Sim,5
D000000019,Dr. Robert Ang,5
D000000020,Dr. Ong Ong,6
D000000021,Dr. Jun Chua,6
D000000022,Dr. Grace Ong,6
D000000023,Dr. John Lee,6
D000000024,Dr. Ng Chong,7
D000000025,Dr. Kevin Tay,7
D000000026,Dr. Michael Rahman,7
D000000027,Dr. Sarah Goh,7
D000000028,Dr. Lee Lee,8
D000000029,Dr. Yan Soh,8
D000000030,Dr. Sarah Ng,8
D000000031,Dr. Tan Rahman,8
D000000032,Dr. Robert Sim,8
D000000033,Dr. Sarah Chen,9
D000000034,Dr. Robert Ang,9
D000000035,Dr. Steven Rahman,9
D000000036,Dr. Daniel Yeo,10
D000000037,Dr. Jessica Ong,10
D000000038,Dr. Linda Goh,11
D000000039,Dr. Emily Lee,11
D000000040,Dr. Lim Tay,12
D000000041,Dr. Rachel Koh,12
D000000042,Dr. Lim Hassan,12
D000000043,Dr. Jessica Chen,13
D000000044,Dr. Jennifer Chua,13
D000000045,Dr. Teo Tay,14
D000000046,Dr. Wei Koh,14
D000000047,Dr. Daniel Koh,14
D000000048,Dr. Wong Kumar,15
D000000049,Dr. Ng Yeo,15
D000000050,Dr. Marcus Lee,15
D000000051,Dr. Linda Ang,16
D000000052,Dr. Ng Low,16
D000000053,Dr. Jennifer Sim,16
D000000054,Dr. Daniel Ang,17
D000000055,Dr. Jun Koh,17
D000000056,Dr. John Yeo,18
D000000057,Dr. Lee Lim,18
D000000058,Dr. Amanda Lee,19
D000000059,Dr. Hui Teo,19
D000000060,Dr. John Ang,19
D000000061,Dr. Amanda Chng,20
D000000062,Dr. Teo Chong,20
D000000063,Dr. Steven Chua,20
D000000064,Dr. Rachel Yap,20
D000000065,Dr. Nicole Ho,21
D000000066,Dr. Lee Ho,21
D000000067,Dr. Lim Low,21
D000000068,Dr. David Yap,22
D000000069,Dr. Chen Nair,22
D000000070,Dr. Steven Singh,23
D000000071,Dr. Rachel Rahman,23
D000000072,Dr. Michelle Chong,23
D000000073,Dr. Xin Kumar,23
D000000074,Dr. Kevin Goh,23
D000000075,Dr. Grace Sim,24
D000000076,Dr. Jessica Singh,24
D000000077,Dr. Sarah Tan,24
D000000078,Dr. Robert Tay,24
D000000079,Dr. Grace Singh,24
D000000080,Dr. Hui Yap,25
D000000081,Dr. Michael Chong,25
D000000082,Dr. Linda Ng,26
D000000083,Dr. Emily Ang,26
D000000084,Dr. Kumar Kumar,26
D000000085,Dr. Ming Ng,26
D000000086,Dr. Lim Sim,26
D000000087,Dr. Lim Tan,27
D000000088,Dr. Michael Ng,27
D000000089,Dr. Teo Tay,28
D000000090,Dr. Ong Singh,28
D000000091,Dr. Hui Chen,28
D000000092,Dr. David Sim,28
D000000093,Dr. Ming Teo,28
D000000094,Dr. Ming Yeo,29
D000000095,Dr. Michelle Teo,29
D000000096,Dr. Benjamin Rahman,29
D000000097,Dr. Kevin Yeo,29
D000000098,Dr. Benjamin Ali,30
D000000099,Dr. Li Wong,30
D000000100,Dr. Daniel Singh,31
D000000101,Dr. Steven Sim,31
D000000102,Dr. Kumar Yap,32
D000000103,Dr. Benjamin Sim,32
D000000104,Dr. Lee Ho,32
D000000105,Dr. Kevin Wong,32
D000000106,Dr. Li Hassan,32
D000000107,Dr. Wei Tay,33
D000000108,Dr. Linda Nair,33
D000000109,Dr. Sarah Ang,33
D000000110,Dr. Daniel Krishnan,34
D000000111,Dr. Rachel Yeo,34
D000000112,Dr. David Chen,35
D000000113,Dr. Ng Teo,35
D000000114,Dr. Ong Wong,35
D000000115,Dr. Nicole Teo,36
D000000116,Dr. Chen Singh,36
D000000117,Dr. John Ali,37
D000000118,Dr. Priya Teo,37
D000000119,Dr. Kevin Chen,38
D000000120,Dr. Hui Soh,38
D000000121,Dr. Steven Singh,38
D000000122,Dr. Tan Yap,39
D000000123,Dr. Michelle Low,39
D000000124,Dr. Lee Nair,40
D000000125,Dr. Daniel Lim,40
D000000126,Dr. Robert Tay,40
D000000127,Dr. John Chong,40
D000000128,Dr. Mary Wong,40
D000000129,Dr. Chen Nair,41
D000000130,Dr. Teo Ho,41
D000000131,Dr. Mary Chng,42
D000000132,Dr. Teo Chua,42
D000000133,Dr. Linda Koh,42
D000000134,Dr. Tan Ang,42
D000000135,Dr. Lim Nair,42
D000000136,Dr. Rui Koh,43
D000000137,Dr. Jessica Soh,43
D000000138,Dr. Goh Chen,44
D000000139,Dr. Steven Hassan,44
D000000140,Dr. Kevin Low,44
D000000141,Dr. Chen Nair,44
D000000142,Dr. Lim Lim,45
D000000143,Dr. Linda Tan,45
D000000144,Dr. Nicole Low,45
D000000145,Dr. Yan Ng,45
D000000146,Dr. Rui Kumar,46
D000000147,Dr. Marcus Rahman,46
D000000148,Dr. Li Ali,46
D000000149,Dr. Robert Low,47
D000000150,Dr. Linda Teo,47
D000000151,Dr. Yan Krishnan,47
D000000152,Dr. David Nair,47
D000000153,Dr. Linda Chua,48
D000000154,Dr. Jennifer Goh,48
D000000155,Dr. Steven Wong,49
D000000156,Dr. Kumar Ng,49
D000000157,Dr. Michael Ang,50
D000000158,Dr. Andrew Chen,50
D000000159,Dr. Xin Goh,51
D000000160,Dr. Wong Yeo,51
D000000161,Dr. James Hassan,51
D000000162,Dr. Priya Chong,52
D000000163,Dr. Nicole Goh,52
D000000164,Dr. Lim Ho,52
D000000165,Dr. Li Lim,52
D000000166,Dr. Kumar Wong,53
D000000167,Dr. Benjamin Sim,53
D000000168,Dr. Andrew Hassan,53
D000000169,Dr. Jing Kumar,54
D000000170,Dr. Grace Goh,54
D000000171,Dr. Jessica Ho,54
D000000172,Dr. Steven Chua,54
D000000173,Dr. Lee Kumar,54
D000000174,Dr. Wong Ho,55
D000000175,Dr. Lee Lee,55
D000000176,Dr. Marcus Singh,55
D000000177,Dr. Lim Kumar,55
D000000178,Dr. Emily Nair,55
D000000179,Dr. Jun Yeo,56
D000000180,Dr. Michelle Lee,56
D000000181,Dr. Wei Tan,56
D000000182,Dr. Wei Kumar,57
D000000183,Dr. Wong Chen,57
D000000184,Dr. Kumar Chen,57
D000000185,Dr. Ng Soh,57
D000000186,Dr. Emily Ong,57
D000000187,Dr. Yan Ang,58
D000000188,Dr. Rachel Rahman,58
D000000189,Dr. Kevin Soh,58
D000000190,Dr. Daniel Chen,58
D000000191,Dr. Lee Teo,59
D000000192,Dr. Mary Kumar,59
D000000193,Dr. Jun Sim,59
D000000194,Dr. Marcus Teo,59
D000000195,Dr. Kevin Krishnan,59
D000000196,Dr. Benjamin Singh,60
D000000197,Dr. Lim Ho,60
D000000198,Dr. Jing Chen,61
D000000199,Dr. Yan Chng,61
D000000200,Dr. Hui Soh,62
D000000201,Dr. Nicole Low,62
D000000202,Dr. Priya Singh,62
D000000203,Dr. Jennifer Teo,63
D000000204,Dr. Li Yap,63
D000000205,Dr. Li Yeo,63
D000000206,Dr. Ming Lee,64
D000000207,Dr. Xin Goh,64
D000000208,Dr. Jessica Ang,64
D000000209,Dr. Robert Ang,64
D000000210,Dr. David Krishnan,65
D000000211,Dr. Nicole Tay,65
D000000212,Dr. Lee Low,65
D000000213,Dr. Daniel Low,65
D000000214,Dr. Steven Teo,66
D000000215,Dr. Mary Low,66
D000000216,Dr. Lim Hassan,66
D000000217,Dr. Jennifer Ong,66
D000000218,Dr. Xin Koh,67
D000000219,Dr. Xin Yap,67
D000000220,Dr. Daniel Sim,67
D000000221,Dr. Benjamin Teo,67
D000000222,Dr. Jun Yeo,68
D000000223,Dr. Michelle Goh,68
D000000224,Dr. Rui Lim,68
D000000225,Dr. Jessica Ng,69
D000000226,Dr. Marcus Chng,69
D000000227,Dr. Priya Chen,70
D000000228,Dr. Amanda Goh,70
D000000229,Dr. Ng Koh,70
D000000230,Dr. Teo Koh,70
D000000231,Dr. Jennifer Tay,70
D000000232,Dr. Lim Singh,71
D000000233,Dr. Grace Ang,71
D000000234,Dr. Amanda Sim,71
D000000235,Dr. Rachel Teo,72
D000000236,Dr. Jessica Wong,72
D000000237,Dr. Lee Nair,72
D000000238,Dr. Emily Yap,72
D000000239,Dr. Yan Ng,72
D000000240,Dr. David Soh,73
D000000241,Dr. Kumar Goh,73
D000000242,Dr. Rachel Chen,74
D000000243,Dr. David Krishnan,74
D000000244,Dr. Tan Ng,74
D000000245,Dr. Sarah Ong,74
D000000246,Dr. Steven Chen,75
D000000247,Dr. Robert Low,75
D000000248,Dr. Xin Low,76
D000000249,Dr. Wei Soh,76
D000000250,Dr. Linda Chng,76
D000000251,Dr. Chen Nair,77
D000000252,Dr. Lim Yeo,77
D000000253,Dr. Li Krishnan,78
D000000254,Dr. Jun Hassan,78
D000000255,Dr. Sarah Low,78
D000000256,Dr. Wei Koh,78
D000000257,Dr. Rajesh Nair,78
D000000258,Dr. Robert Soh,79
D000000259,Dr. Linda Ong,79
D000000260,Dr. Ng Soh,79
D000000261,Dr. Daniel Lee,79
D000000262,Dr. Rachel Ali,79
D000000263,Dr. Mary Wong,80
D000000264,Dr. Grace Ng,80
D000000265,Dr. Jun Chua,80
D000000266,Dr. Linda Koh,80
D000000267,Dr. Priya Tan,80
D000000268,Dr. Michael Lim,81
D000000269,Dr. Jessica Ang,81
D000000270,Dr. Mary Goh,81
D000000271,Dr. Goh Ong,82
D000000272,Dr. Wong Sim,82
D000000273,Dr. James Ali,83
D000000274,Dr. Priya Wong,83
D000000275,Dr. Li Chong,83
D000000276,Dr. Kevin Nair,83
D000000277,Dr. Sarah Ho,83
D000000278,Dr. Michelle Chong,84
D000000279,Dr. Chen Lim,84
D000000280,Dr. Benjamin Goh,84
D000000281,Dr. Hui Nair,84
D000000282,Dr. Jennifer Chen,85
D000000283,Dr. Chen Ho,85
D000000284,Dr. Marcus Tay,85
D000000285,Dr. Teo Chng,85
D000000286,Dr. Kevin Soh,86
D000000287,Dr. Jennifer Hassan,86
D000000288,Dr. John Soh,86
D000000289,Dr. Grace Ng,87
D000000290,Dr. Andrew Lim,87
D000000291,Dr. David Wong,87
D000000292,Dr. Rajesh Chong,87
D000000293,Dr. Goh Ali,87
D000000294,Dr. Daniel Goh,88
D000000295,Dr. Jun Yeo,88
D000000296,Dr. Linda Nair,88
D000000297,Dr. Amanda Rahman,88
D000000298,Dr. Jessica Rahman,88
D000000299,Dr. Jennifer Ho,89
D000000300,Dr. Kevin Singh,89
D000000301,Dr. John Tay,89
D000000302,Dr. Rachel Ong,90
D000000303,Dr. Wong Chng,90
D000000304,Dr. Ming Low,90
D000000305,Dr. James Hassan,90
D000000306,Dr. Rachel Chua,91
D000000307,Dr. Xin Ali,91
D000000308,Dr. Amanda Chua,91
D000000309,Dr. Steven Koh,92
D000000310,Dr. Daniel Wong,92
D000000311,Dr. Rui Nair,92
D000000312,Dr. Kumar Ang,93
D000000313,Dr. Jun Koh,93
D000000314,Dr. Rui Chen,93
D000000315,Dr. Kumar Tan,93
D000000316,Dr. Benjamin Low,94
D000000317,Dr. Michael Tan,94
D000000318,Dr. Kevin Wong,94
D000000319,Dr. Marcus Yeo,94
D000000320,Dr. Steven Lee,94
D000000321,Dr. Teo Low,95
D000000322,Dr. Teo Koh,95
D000000323,Dr. Ming Tay,95
D000000324,Dr. Benjamin Singh,95
D000000325,Dr. Lim Lee,96
D000000326,Dr. Sarah Lee,96
D000000327,Dr. Marcus Wong,96
D000000328,Dr. Ng Singh,96
D000000329,Dr. Yan Ong,96
D000000330,Dr. Tan Teo,97
